,As of date,As of time,Number of confirmed cases,Number of ruled out cases,Number of cases still hospitalised for investigation,Number of cases fulfilling the reporting criteria,Number of death cases,Number of discharge cases,Number of probable cases,Number of hospitalised cases in critical condition,Number of cases tested positive for SARS-CoV-2 virus by nucleic acid tests,Number of cases tested positive for SARS-CoV-2 virus by rapid antigen tests
0,08/01/2020,12:00,0.0,21.0,17.0,38.0,0,0.0,0.0,,,
1,09/01/2020,12:00,0.0,25.0,23.0,48.0,0,0.0,0.0,,,
2,10/01/2020,12:00,0.0,31.0,23.0,54.0,0,0.0,0.0,,,
3,11/01/2020,12:00,0.0,46.0,15.0,61.0,0,0.0,0.0,,,
4,12/01/2020,12:00,0.0,51.0,16.0,67.0,0,0.0,0.0,,,
5,13/01/2020,12:00,0.0,56.0,12.0,68.0,0,0.0,0.0,,,
6,14/01/2020,12:00,0.0,60.0,11.0,71.0,0,0.0,0.0,,,
7,15/01/2020,12:00,0.0,66.0,10.0,76.0,0,0.0,0.0,,,
8,16/01/2020,12:00,0.0,71.0,7.0,78.0,0,0.0,0.0,,,
9,17/01/2020,12:00,0.0,75.0,6.0,81.0,0,0.0,0.0,,,
10,18/01/2020,12:00,0.0,76.0,14.0,90.0,0,0.0,0.0,,,
11,19/01/2020,12:00,0.0,80.0,19.0,99.0,0,0.0,0.0,,,
12,20/01/2020,12:00,0.0,81.0,25.0,106.0,0,0.0,0.0,,,
13,21/01/2020,12:00,0.0,88.0,30.0,118.0,0,0.0,0.0,,,
14,22/01/2020,12:00,0.0,97.0,38.0,135.0,0,0.0,0.0,,,
15,23/01/2020,12:00,2.0,109.0,65.0,176.0,0,0.0,0.0,,,
16,24/01/2020,12:00,5.0,122.0,117.0,244.0,0,0.0,0.0,,,
17,25/01/2020,12:00,5.0,163.0,137.0,305.0,0,0.0,0.0,,,
18,26/01/2020,12:00,8.0,219.0,155.0,382.0,0,0.0,0.0,,,
19,27/01/2020,12:00,8.0,276.0,167.0,451.0,0,0.0,0.0,,,
