date,cpi
1957-01-01,28.400
1957-02-01,28.500
1957-03-01,28.600
1957-04-01,28.600
1957-05-01,28.700
1957-06-01,28.800
1957-07-01,29.000
1957-08-01,29.100
1957-09-01,29.100
1957-10-01,29.100
1957-11-01,29.200
1957-12-01,29.300
1958-01-01,29.400
1958-02-01,29.500
1958-03-01,29.700
1958-04-01,29.700
1958-05-01,29.700
1958-06-01,29.700
1958-07-01,29.700
1958-08-01,29.700
1958-09-01,29.700
1958-10-01,29.700
1958-11-01,29.800
1958-12-01,29.800
1959-01-01,29.800
1959-02-01,29.800
1959-03-01,29.700
1959-04-01,29.800
1959-05-01,29.800
1959-06-01,29.900
1959-07-01,30.000
1959-08-01,30.000
1959-09-01,30.100
1959-10-01,30.200
1959-11-01,30.200
1959-12-01,30.200
1960-01-01,30.200
1960-02-01,30.300
1960-03-01,30.200
1960-04-01,30.400
1960-05-01,30.400
1960-06-01,30.400
1960-07-01,30.400
1960-08-01,30.400
1960-09-01,30.400
1960-10-01,30.600
1960-11-01,30.600
1960-12-01,30.600
1961-01-01,30.600
1961-02-01,30.600
1961-03-01,30.700
1961-04-01,30.700
1961-05-01,30.700
1961-06-01,30.600
1961-07-01,30.700
1961-08-01,30.800
1961-09-01,30.800
1961-10-01,30.800
1961-11-01,30.800
1961-12-01,30.800
1962-01-01,30.900
1962-02-01,30.900
1962-03-01,31.100
1962-04-01,31.100
1962-05-01,31.100
1962-06-01,31.100
1962-07-01,31.100
1962-08-01,31.200
1962-09-01,31.300
1962-10-01,31.300
1962-11-01,31.300
1962-12-01,31.200
1963-01-01,31.300
1963-02-01,31.300
1963-03-01,31.400
1963-04-01,31.400
1963-05-01,31.400
1963-06-01,31.500
1963-07-01,31.600
1963-08-01,31.600
1963-09-01,31.600
1963-10-01,31.700
1963-11-01,31.700
1963-12-01,31.800
1964-01-01,31.800
1964-02-01,31.900
1964-03-01,31.900
1964-04-01,31.900
1964-05-01,31.900
1964-06-01,31.900
1964-07-01,31.900
1964-08-01,32.000
1964-09-01,32.000
1964-10-01,32.100
1964-11-01,32.200
1964-12-01,32.200
1965-01-01,32.200
1965-02-01,32.200
1965-03-01,32.300
1965-04-01,32.300
1965-05-01,32.400
1965-06-01,32.600
1965-07-01,32.500
1965-08-01,32.500
1965-09-01,32.600
1965-10-01,32.600
1965-11-01,32.700
1965-12-01,32.800
1966-01-01,32.800
1966-02-01,33.000
1966-03-01,33.200
1966-04-01,33.300
1966-05-01,33.400
1966-06-01,33.400
1966-07-01,33.500
1966-08-01,33.700
1966-09-01,33.800
1966-10-01,33.900
1966-11-01,33.900
1966-12-01,33.900
1967-01-01,34.000
1967-02-01,34.000
1967-03-01,34.100
1967-04-01,34.100
1967-05-01,34.300
1967-06-01,34.300
1967-07-01,34.400
1967-08-01,34.600
1967-09-01,34.700
1967-10-01,34.800
1967-11-01,34.900
1967-12-01,35.000
1968-01-01,35.200
1968-02-01,35.300
1968-03-01,35.500
1968-04-01,35.600
1968-05-01,35.700
1968-06-01,35.800
1968-07-01,36.000
1968-08-01,36.100
1968-09-01,36.300
1968-10-01,36.500
1968-11-01,36.600
1968-12-01,36.700
1969-01-01,36.900
1969-02-01,37.000
1969-03-01,37.300
1969-04-01,37.500
1969-05-01,37.700
1969-06-01,37.900
1969-07-01,38.000
1969-08-01,38.200
1969-09-01,38.500
1969-10-01,38.600
1969-11-01,38.800
1969-12-01,39.100
1970-01-01,39.300
1970-02-01,39.500
1970-03-01,39.700
1970-04-01,39.900
1970-05-01,40.100
1970-06-01,40.200
1970-07-01,40.300
1970-08-01,40.500
1970-09-01,40.700
1970-10-01,40.900
1970-11-01,41.000
1970-12-01,41.200
1971-01-01,41.300
1971-02-01,41.400
1971-03-01,41.500
1971-04-01,41.700
1971-05-01,41.900
1971-06-01,42.100
1971-07-01,42.100
1971-08-01,42.200
1971-09-01,42.300
1971-10-01,42.300
1971-11-01,42.500
1971-12-01,42.600
1972-01-01,42.800
1972-02-01,42.900
1972-03-01,43.000
1972-04-01,43.100
1972-05-01,43.200
1972-06-01,43.300
1972-07-01,43.400
1972-08-01,43.600
1972-09-01,43.700
1972-10-01,43.800
1972-11-01,43.900
1972-12-01,44.100
1973-01-01,44.300
1973-02-01,44.500
1973-03-01,45.000
1973-04-01,45.300
1973-05-01,45.600
1973-06-01,45.900
1973-07-01,45.900
1973-08-01,46.700
1973-09-01,46.900
1973-10-01,47.200
1973-11-01,47.500
1973-12-01,47.700
1974-01-01,48.100
1974-02-01,48.600
1974-03-01,49.000
1974-04-01,49.300
1974-05-01,49.700
1974-06-01,50.200
1974-07-01,50.500
1974-08-01,51.200
1974-09-01,51.800
1974-10-01,52.300
1974-11-01,52.800
1974-12-01,53.300
1975-01-01,53.700
1975-02-01,53.900
1975-03-01,54.100
1975-04-01,54.300
1975-05-01,54.500
1975-06-01,54.800
1975-07-01,55.300
1975-08-01,55.500
1975-09-01,55.800
1975-10-01,56.200
1975-11-01,56.600
1975-12-01,56.900
1976-01-01,57.100
1976-02-01,57.200
1976-03-01,57.300
1976-04-01,57.400
1976-05-01,57.700
1976-06-01,57.900
1976-07-01,58.300
1976-08-01,58.700
1976-09-01,59.000
1976-10-01,59.200
1976-11-01,59.500
1976-12-01,59.700
1977-01-01,59.900
1977-02-01,60.500
1977-03-01,60.800
1977-04-01,61.200
1977-05-01,61.400
1977-06-01,61.800
1977-07-01,62.100
1977-08-01,62.400
1977-09-01,62.700
1977-10-01,62.900
1977-11-01,63.200
1977-12-01,63.600
1978-01-01,64.000
1978-02-01,64.400
1978-03-01,64.900
1978-04-01,65.400
1978-05-01,66.000
1978-06-01,66.500
1978-07-01,67.000
1978-08-01,67.500
1978-09-01,68.000
1978-10-01,68.500
1978-11-01,68.900
1978-12-01,69.400
1979-01-01,70.000
1979-02-01,70.700
1979-03-01,71.400
1979-04-01,71.900
1979-05-01,72.500
1979-06-01,72.900
1979-07-01,73.500
1979-08-01,74.100
1979-09-01,74.800
1979-10-01,75.400
1979-11-01,76.100
1979-12-01,77.100
1980-01-01,77.900
1980-02-01,78.600
1980-03-01,79.600
1980-04-01,80.400
1980-05-01,81.100
1980-06-01,81.900
1980-07-01,81.900
1980-08-01,82.600
1980-09-01,83.500
1980-10-01,84.300
1980-11-01,85.200
1980-12-01,86.100
1981-01-01,86.600
1981-02-01,87.100
1981-03-01,87.500
1981-04-01,88.100
1981-05-01,88.700
1981-06-01,89.400
1981-07-01,90.500
1981-08-01,91.400
1981-09-01,92.500
1981-10-01,92.600
1981-11-01,93.000
1981-12-01,93.400
1982-01-01,93.800
1982-02-01,94.300
1982-03-01,94.400
1982-04-01,95.000
1982-05-01,95.700
1982-06-01,96.400
1982-07-01,96.900
1982-08-01,97.200
1982-09-01,97.500
1982-10-01,97.600
1982-11-01,97.600
1982-12-01,97.400
1983-01-01,97.700
1983-02-01,98.100
1983-03-01,98.400
1983-04-01,98.800
1983-05-01,99.100
1983-06-01,99.300
1983-07-01,99.700
1983-08-01,100.100
1983-09-01,100.400
1983-10-01,100.800
1983-11-01,101.200
1983-12-01,101.600
1984-01-01,102.400
1984-02-01,102.800
1984-03-01,103.100
1984-04-01,103.500
1984-05-01,103.800
1984-06-01,104.200
1984-07-01,104.600
1984-08-01,105.100
1984-09-01,105.300
1984-10-01,105.700
1984-11-01,105.900
1984-12-01,106.300
1985-01-01,106.500
1985-02-01,107.200
1985-03-01,107.500
1985-04-01,107.700
1985-05-01,108.000
1985-06-01,108.300
1985-07-01,108.500
1985-08-01,108.800
1985-09-01,109.100
1985-10-01,109.500
1985-11-01,110.100
1985-12-01,110.500
1986-01-01,110.900
1986-02-01,111.100
1986-03-01,111.400
1986-04-01,111.800
1986-05-01,112.000
1986-06-01,112.300
1986-07-01,112.800
1986-08-01,113.200
1986-09-01,113.600
1986-10-01,114.000
1986-11-01,114.400
1986-12-01,114.700
1987-01-01,115.100
1987-02-01,115.400
1987-03-01,115.800
1987-04-01,116.300
1987-05-01,116.800
1987-06-01,117.100
1987-07-01,117.300
1987-08-01,117.800
1987-09-01,118.300
1987-10-01,118.700
1987-11-01,119.100
1987-12-01,119.400
1988-01-01,119.800
1988-02-01,120.000
1988-03-01,120.500
1988-04-01,121.100
1988-05-01,121.500
1988-06-01,122.000
1988-07-01,122.600
1988-08-01,123.000
1988-09-01,123.700
1988-10-01,124.100
1988-11-01,124.500
1988-12-01,125.000
1989-01-01,125.500
1989-02-01,125.900
1989-03-01,126.400
1989-04-01,126.900
1989-05-01,127.500
1989-06-01,127.900
1989-07-01,128.400
1989-08-01,128.700
1989-09-01,129.100
1989-10-01,129.800
1989-11-01,130.300
1989-12-01,130.800
1990-01-01,131.500
1990-02-01,132.200
1990-03-01,132.900
1990-04-01,133.300
1990-05-01,133.600
1990-06-01,134.400
1990-07-01,135.100
1990-08-01,135.800
1990-09-01,136.300
1990-10-01,136.800
1990-11-01,137.200
1990-12-01,137.700
1991-01-01,138.500
1991-02-01,139.100
1991-03-01,139.400
1991-04-01,139.900
1991-05-01,140.300
1991-06-01,140.800
1991-07-01,141.100
1991-08-01,141.500
1991-09-01,141.900
1991-10-01,142.200
1991-11-01,142.700
1991-12-01,143.100
1992-01-01,143.400
1992-02-01,143.700
1992-03-01,144.200
1992-04-01,144.500
1992-05-01,144.900
1992-06-01,145.200
1992-07-01,145.500
1992-08-01,146.000
1992-09-01,146.300
1992-10-01,146.800
1992-11-01,147.200
1992-12-01,147.400
1993-01-01,147.900
1993-02-01,148.400
1993-03-01,148.600
1993-04-01,149.100
1993-05-01,149.600
1993-06-01,149.800
1993-07-01,150.000
1993-08-01,150.500
1993-09-01,150.700
1993-10-01,151.100
1993-11-01,151.600
1993-12-01,152.000
1994-01-01,152.200
1994-02-01,152.400
1994-03-01,152.800
1994-04-01,153.100
1994-05-01,153.500
1994-06-01,153.900
1994-07-01,154.300
1994-08-01,154.800
1994-09-01,155.100
1994-10-01,155.300
1994-11-01,155.700
1994-12-01,156.100
1995-01-01,156.500
1995-02-01,157.000
1995-03-01,157.300
1995-04-01,157.900
1995-05-01,158.300
1995-06-01,158.500
1995-07-01,158.800
1995-08-01,159.200
1995-09-01,159.600
1995-10-01,160.100
1995-11-01,160.300
1995-12-01,160.500
1996-01-01,161.000
1996-02-01,161.400
1996-03-01,161.900
1996-04-01,162.100
1996-05-01,162.400
1996-06-01,162.900
1996-07-01,163.300
1996-08-01,163.600
1996-09-01,164.100
1996-10-01,164.500
1996-11-01,165.000
1996-12-01,165.200
1997-01-01,165.400
1997-02-01,165.800
1997-03-01,166.100
1997-04-01,166.400
1997-05-01,166.700
1997-06-01,166.900
1997-07-01,167.200
1997-08-01,167.400
1997-09-01,167.700
1997-10-01,168.100
1997-11-01,168.400
1997-12-01,168.700
1998-01-01,169.200
1998-02-01,169.400
1998-03-01,169.700
1998-04-01,170.000
1998-05-01,170.400
1998-06-01,170.600
1998-07-01,171.000
1998-08-01,171.400
1998-09-01,171.600
1998-10-01,172.000
1998-11-01,172.300
1998-12-01,172.800
1999-01-01,173.100
1999-02-01,173.200
1999-03-01,173.200
1999-04-01,173.800
1999-05-01,174.000
1999-06-01,174.100
1999-07-01,174.500
1999-08-01,174.700
1999-09-01,175.200
1999-10-01,175.500
1999-11-01,175.800
1999-12-01,176.100
2000-01-01,176.600
2000-02-01,176.800
2000-03-01,177.300
2000-04-01,177.600
2000-05-01,178.100
2000-06-01,178.400
2000-07-01,178.900
2000-08-01,179.300
2000-09-01,179.700
2000-10-01,179.900
2000-11-01,180.300
2000-12-01,180.700
2001-01-01,181.200
2001-02-01,181.800
2001-03-01,182.200
2001-04-01,182.500
2001-05-01,182.800
2001-06-01,183.400
2001-07-01,183.900
2001-08-01,184.200
2001-09-01,184.500
2001-10-01,184.900
2001-11-01,185.500
2001-12-01,185.700
2002-01-01,186.000
2002-02-01,186.400
2002-03-01,186.600
2002-04-01,187.000
2002-05-01,187.200
2002-06-01,187.400
2002-07-01,187.700
2002-08-01,188.200
2002-09-01,188.400
2002-10-01,188.500
2002-11-01,188.900
2002-12-01,189.200
2003-01-01,189.400
2003-02-01,189.700
2003-03-01,189.700
2003-04-01,189.800
2003-05-01,190.100
2003-06-01,190.400
2003-07-01,190.700
2003-08-01,191.000
2003-09-01,191.100
2003-10-01,191.500
2003-11-01,191.700
2003-12-01,192.000
2004-01-01,192.300
2004-02-01,192.600
2004-03-01,193.200
2004-04-01,193.600
2004-05-01,194.100
2004-06-01,194.400
2004-07-01,194.700
2004-08-01,194.800
2004-09-01,195.300
2004-10-01,195.800
2004-11-01,196.200
2004-12-01,196.400
2005-01-01,196.800
2005-02-01,197.200
2005-03-01,197.700
2005-04-01,198.100
2005-05-01,198.400
2005-06-01,198.500
2005-07-01,198.800
2005-08-01,199.000
2005-09-01,199.300
2005-10-01,199.800
2005-11-01,200.400
2005-12-01,200.700
2006-01-01,201.100
2006-02-01,201.500
2006-03-01,202.000
2006-04-01,202.500
2006-05-01,203.000
2006-06-01,203.600
2006-07-01,204.100
2006-08-01,204.600
2006-09-01,205.000
2006-10-01,205.300
2006-11-01,205.500
2006-12-01,205.800
2007-01-01,206.414
2007-02-01,207.083
