date,dec1,dec9
19700130,0.05438,-0.07308
19700227,0.02026,0.06419
19700331,-0.03179,-0.00403
19700430,-0.18477,-0.11582
19700529,-0.08819,-0.08557
19700630,-0.05948,-0.04660
19700731,0.01609,0.07908
19700831,0.05013,0.05598
19700930,0.15377,0.06585
19701030,-0.06993,-0.03873
19701130,-0.06994,0.04990
19701231,0.07410,0.07999
19710129,0.27497,0.06937
19710226,0.09351,0.02257
19710331,0.05684,0.05210
19710430,0.02097,0.03169
19710528,-0.06405,-0.03163
19710630,-0.04196,0.00370
19710730,-0.07646,-0.04214
19710831,0.03666,0.04790
19710930,-0.01020,-0.00430
19711029,-0.07129,-0.04843
19711130,-0.05556,-0.00933
19711231,0.12515,0.09928
19720131,0.31134,0.04493
19720229,0.13481,0.03330
19720330,-0.04186,0.00927
19720428,0.00299,0.00359
19720531,-0.05103,-0.00004
19720630,-0.02570,-0.02752
19720731,-0.04047,-0.02588
19720831,-0.00988,0.02051
19720929,-0.03741,-0.02225
19721031,-0.02265,-0.00753
19721130,-0.00433,0.06078
19721229,-0.04796,-0.00442
19730131,0.01932,-0.05346
19730228,-0.06781,-0.06890
19730330,-0.04739,-0.02485
19730430,-0.05928,-0.07490
19730531,-0.10228,-0.05997
19730629,-0.04737,-0.02362
19730731,0.05285,0.08768
19730831,-0.04234,-0.02528
19730928,0.00558,0.09958
19731031,0.03372,0.00173
19731130,-0.15467,-0.16027
19731231,-0.08214,0.01153
19740131,0.24957,0.05458
19740228,0.01112,0.00071
19740329,0.04198,-0.02206
19740430,-0.03897,-0.06916
19740531,-0.07212,-0.07511
19740628,-0.03224,-0.04029
19740731,-0.05613,-0.04505
19740830,-0.06620,-0.09564
19740930,-0.07949,-0.08083
19741031,0.02508,0.12076
19741129,-0.06213,-0.03510
19741231,-0.11275,-0.04691
19750131,0.46143,0.22611
19750228,0.07076,0.04809
19750331,0.10074,0.05732
19750430,0.00418,0.04846
19750530,0.07424,0.05858
19750630,0.06849,0.06008
19750731,0.01923,-0.04730
19750829,-0.05598,-0.03164
19750930,-0.04623,-0.03635
19751031,-0.01831,0.04594
19751128,0.00326,0.03237
19751231,-0.01448,-0.00249
19760130,0.21619,0.15355
19760227,0.20740,0.05102
19760331,0.02606,0.01717
19760430,-0.00189,-0.00843
19760528,-0.03354,-0.01194
19760630,0.00472,0.05292
19760730,0.00048,-0.00298
19760831,-0.02974,-0.01306
19760930,-0.00591,0.02489
19761029,-0.03215,-0.02289
19761130,0.00646,0.03456
19761231,0.10932,0.08465
19770131,0.10475,-0.00862
19770228,0.02343,-0.01860
19770331,0.01643,0.00129
19770429,0.01740,0.01715
19770531,0.01455,-0.00446
19770630,0.03111,0.05642
19770729,0.02290,-0.00930
19770831,0.01496,-0.01358
19770930,0.03516,0.00563
19771031,-0.02441,-0.02790
19771130,0.06975,0.06721
19771230,0.04460,0.01056
19780131,0.03583,-0.04828
19780228,0.03397,0.00432
19780331,0.08523,0.05434
19780428,0.08792,0.07419
19780531,0.08718,0.04380
19780630,0.04650,-0.00177
19780731,0.04589,0.05766
19780831,0.15543,0.05979
19780929,0.05021,-0.01715
19781031,-0.21271,-0.15653
19781130,-0.00169,0.04053
19781229,-0.00644,0.02028
19790131,0.12098,0.06493
19790228,-0.00943,-0.02534
19790330,0.06811,0.08448
19790430,0.04474,0.01500
19790531,-0.00034,-0.01455
19790629,0.05715,0.05754
19790731,0.01413,0.02775
19790831,0.06835,0.07108
19790928,-0.00530,-0.00556
19791031,-0.09029,-0.09073
19791130,0.02806,0.07895
19791231,0.09825,0.04060
19800131,0.18668,0.06199
19800229,0.02908,-0.02314
19800331,-0.16778,-0.15468
19800430,0.00772,0.06904
19800530,0.04802,0.07790
19800630,0.02905,0.04431
19800731,0.07572,0.08979
19800829,0.07738,0.04063
19800930,0.11412,0.03606
19801031,0.10556,0.01812
19801128,0.07566,0.08360
19801231,-0.02332,-0.02815
19810130,0.06469,-0.01310
19810227,0.00559,0.02023
19810331,0.06160,0.08135
19810430,0.04785,0.01686
19810529,0.05416,0.02529
19810630,-0.00351,-0.01909
19810731,-0.01911,-0.02113
19810831,-0.06100,-0.05802
19810930,-0.09500,-0.06898
19811030,0.04006,0.06574
19811130,0.00826,0.03527
19811231,-0.02011,-0.02237
19820129,0.01030,-0.04204
19820226,-0.03124,-0.04226
19820331,-0.00607,-0.00456
19820430,0.05450,0.05120
19820528,-0.01589,-0.03054
19820630,-0.02186,-0.02092
19820730,0.01188,-0.01311
19820831,0.01387,0.10496
19820930,0.06931,0.03646
19821029,0.13264,0.13880
19821130,0.15831,0.07895
19821231,0.06591,0.01049
19830131,0.26844,0.05350
19830228,0.03424,0.04065
19830331,0.04800,0.03853
19830429,0.08136,0.06863
19830531,0.12303,0.04203
19830630,0.05737,0.03373
19830729,0.00164,-0.02776
19830831,-0.04370,-0.02185
19830930,-0.04698,0.02898
19831031,-0.04772,-0.05617
19831130,-0.02017,0.05080
19831230,-0.00769,-0.01808
19840131,0.03324,-0.02471
19840229,-0.04311,-0.05086
19840330,0.02548,0.00420
19840430,-0.03476,0.00098
19840531,-0.03425,-0.05157
19840629,-0.03465,0.03331
19840731,-0.07326,-0.03675
19840831,0.05403,0.12359
19840928,-0.01183,-0.00203
19841031,-0.04835,-0.00583
19841130,-0.05893,-0.00778
19841231,0.00958,0.02369
19850131,0.11033,0.11190
19850228,0.09773,0.01656
19850329,-0.01020,-0.01340
19850430,-0.02010,-0.00002
19850531,-0.01746,0.04436
19850628,-0.02283,0.02281
19850731,0.01589,0.01291
19850830,0.01965,-0.00482
19850930,-0.07401,-0.04962
19851031,-0.03322,0.03491
19851129,0.02822,0.06575
19851231,-0.00208,0.03514
19860131,0.08672,0.01504
19860228,0.03988,0.06850
19860331,0.04627,0.05440
19860430,0.02155,0.01405
19860530,0.03260,0.04619
19860630,0.00775,0.00995
19860731,-0.07077,-0.07908
19860829,0.00594,0.04558
19860930,-0.06562,-0.06635
19861031,-0.00663,0.03365
19861128,-0.02777,0.00026
19861231,-0.05810,-0.02193
19870130,0.13901,0.12002
19870227,0.08201,0.07381
19870331,0.08044,0.01797
19870430,-0.00590,-0.02821
19870529,0.02033,0.00019
19870630,0.02652,0.02971
19870731,0.05940,0.04740
19870831,-0.01603,0.03048
19870930,-0.02776,-0.01593
19871030,-0.28500,-0.27869
19871130,-0.05483,-0.03866
19871231,-0.03968,0.08620
19880129,0.12990,0.03882
19880229,0.03378,0.07587
19880331,0.03307,0.02079
19880429,0.01879,0.01327
19880531,-0.00746,-0.00894
19880630,0.02314,0.07001
19880729,0.00720,-0.01659
19880831,-0.02429,-0.02664
19880930,0.01841,0.02480
19881031,-0.02834,-0.00252
19881130,-0.03896,-0.02133
19881230,0.00096,0.03533
19890131,0.11579,0.05604
19890228,-0.02330,0.00544
19890331,0.00967,0.02231
19890428,0.02482,0.05026
19890531,0.00429,0.04004
19890630,-0.00500,-0.01063
19890731,-0.00771,0.04525
19890831,-0.00759,0.03337
19890929,0.01306,-0.00038
19891031,-0.03792,-0.04786
19891130,-0.03672,0.00940
19891229,-0.02592,0.00413
19900131,0.02826,-0.08161
19900228,0.03414,0.02224
19900330,0.00374,0.02696
19900430,-0.01136,-0.03900
19900531,0.00673,0.07014
19900629,0.02031,0.00001
19900731,-0.03008,-0.03054
19900831,-0.09221,-0.11004
19900928,-0.03336,-0.07894
19901031,-0.07815,-0.04093
19901130,-0.04754,0.08034
19901231,-0.01013,0.04301
19910131,0.11735,0.07269
19910228,0.18380,0.09802
19910328,0.11587,0.04496
19910430,0.07041,0.00615
19910531,0.03846,0.04310
19910628,0.00099,-0.04193
19910731,0.03200,0.04879
19910830,0.03767,0.03174
19910930,0.01800,-0.00531
19911031,0.01281,0.02226
19911129,0.02031,-0.03811
19911231,-0.00352,0.10426
19920131,0.33700,0.04877
19920228,0.11654,0.02321
19920331,0.01133,-0.02320
19920430,-0.06105,-0.01573
19920529,0.00752,0.00576
19920630,-0.02398,-0.02580
19920731,0.00205,0.03468
19920831,-0.03961,-0.02582
19920930,0.00104,0.01912
19921030,0.00812,0.02698
19921130,0.07690,0.05973
19921231,0.02790,0.03373
19930129,0.16957,0.02272
19930226,0.00410,-0.01146
19930331,0.03287,0.03585
19930430,0.00806,-0.02142
19930528,0.05137,0.03834
19930630,0.02264,0.01019
19930730,0.02721,0.00800
19930831,0.01271,0.04347
19930930,0.05741,0.01645
19931029,0.06083,0.01318
19931130,-0.01897,-0.03071
19931231,-0.02570,0.03999
19940131,0.07679,0.02837
19940228,0.01448,-0.01069
19940331,-0.03060,-0.05318
19940429,-0.03814,0.00718
19940531,0.02404,-0.00729
19940630,-0.04797,-0.02623
19940729,0.00666,0.02527
19940831,0.00359,0.05391
19940930,0.02413,-0.00952
19941031,-0.00584,-0.00231
19941130,-0.04062,-0.04633
19941230,-0.04116,0.01591
19950131,0.07659,-0.00774
19950228,0.00530,0.04623
19950331,0.00854,0.01998
19950428,0.02216,0.01783
19950531,0.01722,0.01378
19950630,0.06082,0.03873
19950731,0.06403,0.06347
19950831,0.05474,0.01210
19950929,0.05282,0.01569
19951031,-0.05969,-0.03006
19951130,-0.02773,0.03371
19951229,0.00873,0.01304
19960131,0.09156,0.00292
19960229,0.06005,0.02825
19960329,0.04106,0.01897
19960430,0.07264,0.04963
19960531,0.12420,0.02651
19960628,-0.03507,-0.03641
19960731,-0.10948,-0.07161
19960830,0.02284,0.05477
19960930,0.00939,0.04510
19961031,-0.04076,-0.00980
19961129,0.00689,0.04383
19961231,-0.02153,0.01013
19970131,0.14291,0.02147
19970228,-0.00971,-0.02229
19970331,-0.06309,-0.04999
19970430,-0.04244,0.00728
19970530,0.02546,0.10439
19970630,0.03495,0.04399
19970731,0.02713,0.05712
19970829,0.04961,0.01100
19970930,0.07392,0.06238
19971031,0.01684,-0.04233
19971128,-0.03881,-0.00426
19971231,-0.06711,0.02044
19980130,0.07871,-0.00920
19980227,0.04058,0.08257
19980331,0.03804,0.04293
19980430,0.05111,0.00272
19980529,-0.03992,-0.05089
19980630,-0.06114,0.00861
19980731,-0.06326,-0.06924
19980831,-0.20193,-0.18824
19980930,0.00476,0.06655
19981030,-0.00350,0.04737
19981130,0.11268,0.05063
19981231,-0.01040,0.07003
19990129,0.17988,-0.00044
19990226,-0.00845,-0.05816
19990331,-0.02430,0.03912
19990430,0.09185,0.09712
19990528,0.02962,-0.00497
19990630,0.00250,0.05388
19990730,0.03896,-0.01891
19990831,-0.04227,-0.02336
19990930,0.00448,-0.00937
19991029,-0.00466,0.04294
19991130,0.12549,0.09065
19991231,0.14636,0.13995
20000131,0.20774,-0.02414
20000229,0.24042,0.10326
20000331,-0.02766,-0.01583
20000428,-0.17038,-0.08933
20000531,-0.08706,-0.05394
20000630,0.05643,0.07027
20000731,-0.02383,-0.03677
20000831,0.06882,0.07306
20000929,-0.03008,-0.05414
20001031,-0.10628,-0.04526
20001130,-0.12251,-0.10671
20001229,-0.07285,0.07942
20010131,0.54292,0.05558
20010228,-0.13406,-0.09066
20010330,-0.11274,-0.06924
20010430,0.04237,0.09804
20010531,0.08101,0.02697
20010629,-0.00551,0.00026
20010731,-0.02055,-0.02748
20010831,-0.01843,-0.03774
20010928,-0.11833,-0.12780
20011031,0.06768,0.05012
20011130,0.05930,0.07554
20011231,0.05254,0.06625
20020131,0.10328,-0.02094
20020228,-0.04911,-0.01845
20020328,0.08624,0.07004
20020430,0.01089,-0.01321
20020531,0.00239,-0.02706
20020628,-0.02177,-0.07112
20020731,-0.08421,-0.09730
