date,return
19800131,0.18668
19800229,0.02908
19800331,-0.16778
19800430,0.00772
19800530,0.04802
19800630,0.02905
19800731,0.07572
19800829,0.07738
19800930,0.11412
19801031,0.10556
19801128,0.07566
19801231,-0.02332
19810130,0.06469
19810227,0.00559
19810331,0.06160
19810430,0.04785
19810529,0.05416
19810630,-0.00351
19810731,-0.01911
19810831,-0.06100
19810930,-0.09500
19811030,0.04006
19811130,0.00826
19811231,-0.02011
19820129,0.01030
19820226,-0.03124
19820331,-0.00607
19820430,0.05450
19820528,-0.01589
19820630,-0.02186
19820730,0.01188
19820831,0.01387
19820930,0.06931
19821029,0.13264
19821130,0.15831
19821231,0.06591
19830131,0.26844
19830228,0.03424
19830331,0.04800
19830429,0.08136
19830531,0.12303
19830630,0.05737
19830729,0.00164
19830831,-0.04370
19830930,-0.04698
19831031,-0.04772
19831130,-0.02017
19831230,-0.00769
19840131,0.03324
19840229,-0.04311
19840330,0.02548
19840430,-0.03476
19840531,-0.03425
19840629,-0.03465
19840731,-0.07326
19840831,0.05403
19840928,-0.01183
19841031,-0.04835
19841130,-0.05893
19841231,0.00958
19850131,0.11033
19850228,0.09773
19850329,-0.01020
19850430,-0.02010
19850531,-0.01746
19850628,-0.02283
19850731,0.01589
19850830,0.01965
19850930,-0.07401
19851031,-0.03322
19851129,0.02822
19851231,-0.00208
19860131,0.08672
19860228,0.03988
19860331,0.04627
19860430,0.02155
19860530,0.03260
19860630,0.00775
19860731,-0.07077
19860829,0.00594
19860930,-0.06562
19861031,-0.00663
19861128,-0.02777
19861231,-0.05810
19870130,0.13901
19870227,0.08201
19870331,0.08044
19870430,-0.00590
19870529,0.02033
19870630,0.02652
19870731,0.05940
19870831,-0.01603
19870930,-0.02776
19871030,-0.28500
19871130,-0.05483
19871231,-0.03968
19880129,0.12990
19880229,0.03378
19880331,0.03307
19880429,0.01879
19880531,-0.00746
19880630,0.02314
19880729,0.00720
19880831,-0.02429
19880930,0.01841
19881031,-0.02834
19881130,-0.03896
19881230,0.00096
19890131,0.11579
19890228,-0.02330
19890331,0.00967
19890428,0.02482
19890531,0.00429
19890630,-0.00500
19890731,-0.00771
19890831,-0.00759
19890929,0.01306
19891031,-0.03792
19891130,-0.03672
19891229,-0.02592
19900131,0.02826
19900228,0.03414
19900330,0.00374
19900430,-0.01136
19900531,0.00673
19900629,0.02031
19900731,-0.03008
19900831,-0.09221
19900928,-0.03336
19901031,-0.07815
19901130,-0.04754
19901231,-0.01013
19910131,0.11735
19910228,0.18380
19910328,0.11587
19910430,0.07041
19910531,0.03846
