date,earning
05/11/1991,0.15
16/1/1992,-0.29
10/4/1992,0.08
14/7/1992,0.06
12/10/1992,0.07
14/1/1993,-0.12
08/4/1993,0.04
12/7/1993,0.05
07/10/1993,0.04
11/1/1994,-0.03
11/4/1994,0.02
08/7/1994,0.07
07/10/1994,0.08
11/1/1995,0.10
07/4/1995,0.27
07/7/1995,0.31
06/10/1995,0.32
05/1/1996,0.22
04/4/1996,0.26
05/7/1996,0.25
04/10/1996,0.20
08/1/1997,0.22
04/4/1997,0.23
07/7/1997,0.30
06/10/1997,0.31
16/1/1998,0.26
06/4/1998,0.31
07/7/1998,0.31
06/10/1998,0.31
08/1/1999,0.30
07/4/1999,0.30
07/7/1999,0.32
06/10/1999,0.35
10/1/2000,0.45
06/4/2000,0.48
10/7/2000,0.47
05/10/2000,0.42
08/1/2001,0.45
05/4/2001,0.51
06/7/2001,0.53
04/10/2001,0.44
08/1/2002,0.11
05/4/2002,0.22
08/7/2002,0.27
04/10/2002,0.26
08/1/2003,0.16
04/4/2003,0.23
08/7/2003,0.27
07/10/2003,0.33
08/1/2004,0.39
06/4/2004,0.37
07/7/2004,0.46
07/10/2004,0.34
10/1/2005,0.39
06/4/2005,0.40
07/7/2005,0.46
10/10/2005,0.33
09/1/2006,0.35
10/4/2006,0.70
10/7/2006,0.90
10/10/2006,0.62
