AC,FM,UC,DL,DS,DP,ASTV,MSTV,ALTV,MLTV,Width,Min,Max,Nmax,Nzeros,Mode,Mean,Median,Variance,Tendency
0.006,0,0.006,0.003,0,0,17,2.1,0,10.4,130,68,198,6,1,141,136,140,12,0
0.003,0,0.008,0.003,0,0,16,2.1,0,13.4,130,68,198,5,1,141,135,138,13,0
0.003,0,0.008,0.003,0,0,16,2.4,0,23,117,53,170,11,0,137,134,137,13,1
0.001,0,0.013,0.008,0,0.003,29,6.3,0,0,150,50,200,6,3,71,107,106,215,0
0,0,0.002,0,0,0,84,0.5,5,13.6,68,62,130,0,0,122,122,123,3,1
0,0,0.001,0.001,0,0,64,2,8,29.5,130,56,186,5,0,150,148,151,10,1
0.005,0.072,0.008,0.003,0,0,28,1.4,0,12.9,66,88,154,5,0,135,134,137,7,1
0.009,0.222,0.006,0.002,0,0,28,1.5,0,5.4,87,71,158,2,0,141,137,141,10,1
0.005,0.425,0.003,0.003,0,0.002,26,1.7,0,6.7,141,57,198,9,0,129,125,132,34,0
0,0.334,0.003,0.003,0,0.003,34,2.5,0,4,145,54,199,11,1,75,99,102,148,-1
0,0,0,0,0,0,80,0.5,0,6.8,16,114,130,0,0,126,124,125,1,1
0,0,0.003,0,0,0,86,0.3,79,2.9,16,114,130,0,0,128,126,129,0,1
0,0,0,0,0,0,86,0.3,72,4,12,118,130,1,0,124,124,125,0,0
0,0,0,0,0,0,87,0.2,71,3.4,10,118,128,0,0,124,123,125,0,0
0,0.099,0,0.012,0,0,26,6,0,5,143,50,193,10,0,133,113,117,89,0
0,0.112,0.004,0.014,0,0,22,6.9,0,6.3,149,50,199,10,0,123,112,115,66,0
0,0.089,0.001,0.01,0,0,29,2.9,0,15.1,144,50,194,11,1,133,124,130,35,0
0.009,0.085,0.002,0.002,0,0,28,3.2,0,12.4,128,53,181,9,1,129,125,127,25,0
0.006,0.109,0.007,0,0,0,27,3.7,0,24.2,144,51,195,11,0,125,124,126,24,0
0.005,0.079,0.005,0.003,0,0,23,3.4,0,18.8,130,52,182,9,0,119,116,118,21,0
0.005,0,0.005,0.003,0,0,24,3.2,0,16.2,134,52,186,8,0,117,115,117,19,0
0.006,0.065,0.004,0.001,0,0,22,3.6,0,19.6,138,50,188,8,0,117,117,119,21,0
0.009,0.055,0.005,0,0,0,27,2.3,0,12.4,129,53,182,7,0,119,120,120,14,0
